,loss,acc,val_loss,val_acc
0,0.6857357025146484,0.5570999979972839,0.657614529132843,0.593500018119812
1,0.6255741119384766,0.6582000255584717,0.563255250453949,0.7135000228881836
2,0.5469399690628052,0.7226999998092651,0.5114010572433472,0.7444999814033508
3,0.4581657350063324,0.7831000089645386,0.4235188364982605,0.8025000095367432
4,0.40339407324790955,0.8169999718666077,0.3629380166530609,0.8374999761581421
5,0.35637399554252625,0.843500018119812,0.39639922976493835,0.828000009059906
6,0.3207511603832245,0.8659999966621399,0.3575834035873413,0.8510000109672546
7,0.28145694732666016,0.8809999823570251,0.33624181151390076,0.8644999861717224
8,0.25718972086906433,0.8949000239372253,0.3780153691768646,0.8700000047683716
9,0.2342231720685959,0.9111999869346619,0.2822396159172058,0.8830000162124634
10,0.21450275182724,0.9174000024795532,0.33489683270454407,0.8815000057220459
11,0.20107629895210266,0.9269000291824341,0.2915912866592407,0.8774999976158142
12,0.19420789182186127,0.9297000169754028,0.25343620777130127,0.8859999775886536
13,0.17920993268489838,0.9363999962806702,0.2808160185813904,0.9070000052452087
14,0.173044353723526,0.9401999711990356,0.25375401973724365,0.9020000100135803
15,0.17456141114234924,0.9467999935150146,0.2753005921840668,0.9049999713897705
16,0.15951377153396606,0.9488999843597412,5.227194786071777,0.8619999885559082
17,0.2129230946302414,0.9513000249862671,0.5039833784103394,0.8985000252723694
18,0.15025080740451813,0.9546999931335449,0.2512378394603729,0.9150000214576721
19,0.13127437233924866,0.9569000005722046,0.3873283863067627,0.843500018119812
20,0.21189948916435242,0.9556000232696533,0.8342797756195068,0.8945000171661377
21,0.1892417073249817,0.9574000239372253,0.24657106399536133,0.8980000019073486
22,0.16804176568984985,0.958899974822998,0.41465434432029724,0.8999999761581421
23,0.12047217041254044,0.9592999815940857,0.5469789505004883,0.9054999947547913
24,0.11692371964454651,0.9625999927520752,0.4060625731945038,0.9175000190734863
25,0.13193397223949432,0.9617000222206116,0.5700558423995972,0.906000018119812
26,0.1155795305967331,0.9660000205039978,0.37243524193763733,0.9259999990463257
27,0.11194836348295212,0.9674999713897705,0.24924227595329285,0.9175000190734863
28,0.11739756911993027,0.967199981212616,0.31190499663352966,0.9144999980926514
29,0.09952114522457123,0.9704999923706055,0.933809220790863,0.921500027179718
